,year,movie_title,certificate,duration,genre,rate,metascore,votes,gross,user_reviews,critic_reviews,cartoon,number_of_genres
1081,2015,Pitch Perfect 2,PG-13,115,Comedy|Music,6.5,63.0,104104,183440000,189.0,225.0,False,2
1082,2013,Omar,0,96,Drama|Romance|Thriller,7.599999900000001,75.0,10275,0,34.0,115.0,False,3
1083,2014,Nightcrawler,R,117,Crime|Drama|Thriller,7.900000099999999,76.0,315815,32280000,572.0,540.0,False,3
1084,2015,Shaun the Sheep Movie,PG,85,Animation|Adventure|Comedy,7.400000099999999,81.0,26311,19370000,103.0,226.0,True,3
1085,2014,Chef,R,114,Comedy|Drama,7.30000019,68.0,147180,31240000,367.0,324.0,False,2
1086,2014,John Wick,R,101,Action|Crime|Thriller,7.19999981,68.0,274795,43000000,670.0,376.0,False,3
1087,2014,A Most Violent Year,R,125,Action|Crime|Drama,7.0,79.0,49121,5750000,184.0,356.0,False,3
1088,2016,Zootopia,PG,108,Animation|Adventure|Comedy,8.10000038,78.0,252756,341260000,488.0,422.0,True,3
1089,2016,Batman v Superman: Dawn of Justice,PG-13,151,Action|Adventure|Sci-Fi,6.69999981,44.0,442880,330250000,3199.0,715.0,False,3
1090,2014,The Theory of Everything,PG-13,123,Biography|Drama|Romance,7.69999981,72.0,285961,35887263,401.0,423.0,False,3
1091,2013,Tangerines,Not Rated,87,Drama|War,8.30000019,73.0,22799,110000,51.0,113.0,False,2
1092,2014,Wild Tales,R,122,Comedy|Drama|Thriller,8.10000038,77.0,103745,3080000,143.0,287.0,False,3
1093,2016,The Jungle Book,PG,106,Adventure|Drama|Family,7.5,77.0,176667,364000000,465.0,404.0,False,3
1094,2016,Inferno,PG-13,121,Action|Adventure|Crime,6.19999981,42.0,65866,34260000,0.0,0.0,False,3
1095,2013,Bad Grandpa,R,92,Comedy,6.599999900000001,54.0,79665,101980000,163.0,158.0,False,1
1096,2015,Hardcore Henry,R,96,Action|Adventure|Sci-Fi,6.80000019,51.0,54790,9240000,267.0,279.0,False,3
1097,2015,Creed,PG-13,133,Drama|Sport,7.69999981,82.0,166218,109710000,387.0,447.0,False,2
1098,2015,Spy,R,119,Action|Comedy|Crime,7.099999900000001,75.0,181222,110820000,415.0,365.0,False,3
1099,2016,Monster Trucks,PG,105,Animation|Action|Adventure,5.4000001,42.0,1153,14170000,31.0,64.0,True,3
1100,2014,Beyond the Lights,PG-13,116,Drama|Music|Romance,6.900000099999999,73.0,12059,14610000,38.0,71.0,False,3
1101,2015,Room,R,118,Drama,8.19999981,86.0,199790,14680000,387.0,445.0,False,1
1102,2014,Theeb,0,100,Adventure|Drama|Thriller,7.30000019,80.0,6984,280000,35.0,101.0,False,3
1103,2013,Boy and the World,PG,80,Animation|Adventure|Family,7.599999900000001,80.0,4191,50000,18.0,73.0,True,3
1104,2016,Fantastic Beasts and Where to Find Them,PG-13,133,Adventure|Family|Fantasy,7.69999981,66.0,142249,229180000,0.0,0.0,False,3
1105,2015,Trumbo,R,124,Biography|Drama,7.5,60.0,54179,0,161.0,279.0,False,2
1106,2014,It Follows,R,100,Horror|Mystery,6.900000099999999,83.0,126401,14670000,669.0,545.0,False,2
1107,2016,Sully,PG-13,96,Biography|Drama,7.5,74.0,102014,125030000,311.0,340.0,False,2
1108,2016,The Autopsy of Jane Doe,R,86,Horror,6.900000099999999,63.0,16032,0,79.0,97.0,False,1
1109,2015,Youth,R,124,Comedy|Drama|Music,7.30000019,64.0,49919,2700000,131.0,307.0,False,3
1110,2017,Logan,R,137,Action|Drama|Sci-Fi,8.10000038,77.0,442119,226280000,1234.0,590.0,False,3
1111,2014,Still Alice,PG-13,101,Drama,7.5,72.0,93164,18656400,31.0,32.0,False,1
1112,2016,Jack Reacher: Never Go Back,PG-13,118,Action|Adventure|Crime,6.19999981,47.0,36117,58400000,197.0,239.0,False,3
1113,2015,Sicario,R,121,Action|Crime|Drama,7.599999900000001,82.0,227546,46880000,487.0,496.0,False,3
1114,2014,When Marnie Was There,PG,103,Animation|Drama|Family,7.80000019,72.0,16047,400000,54.0,151.0,True,3
1115,2014,Timbuktu,PG-13,97,Drama,7.19999981,92.0,11851,1070000,57.0,173.0,False,1
1116,2016,A Monster Calls,PG-13,108,Drama|Fantasy,7.80000019,76.0,10287,2170000,0.0,0.0,False,2
1117,2014,What We Do in the Shadows,R,86,Comedy|Fantasy|Horror,7.599999900000001,76.0,77148,3330000,183.0,306.0,False,3
1118,2017,War for the Planet of the Apes,PG-13,140,Action|Adventure|Drama,7.5,82.0,152043,146880000,708.0,422.0,False,3
1119,2015,The Hateful Eight,R,187,Crime|Drama|Mystery,7.900000099999999,68.0,316906,54120000,1077.0,618.0,False,3
